curve_number,rainfall_mm,scs_cn_runoff_mm,derived_runoff_coefficient,rational_peak_discharge_m3s
60,50.0,1.4034028277018933,0.05,0.13899999999999998
70,50.0,5.812802953611627,0.11625605907223253,0.3231918442208065
80,50.0,13.802480158730157,0.27604960317460314,0.7674178968253966
90,50.0,27.107681839831255,0.5421536367966251,1.5071871102946177
95,50.0,36.90237873560072,0.7380475747120144,2.0517722576994
100,50.0,50.0,0.98,2.7244
