rainfall_mm,curve_number,adjusted_curve_number,retention_mm,initial_abstraction_mm,runoff_mm,amc
50.0,60.0,60.0,169.33333333333331,33.86666666666667,1.4034028277018933,II
50.0,70.0,70.0,108.85714285714283,21.77142857142857,5.812802953611627,II
50.0,80.0,80.0,63.5,12.700000000000001,13.802480158730157,II
50.0,90.0,90.0,28.22222222222223,5.644444444444446,27.107681839831255,II
50.0,95.0,95.0,13.368421052631561,2.6736842105263126,36.90237873560072,II
50.0,100.0,100.0,0.0,0.0,50.0,II
